adlib_id,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,unknown_Unknown
260558049287301,,,,0.036,0.062,0.06,,,,,0.331,0.333,0.173,,,,,0.003,0.003,,,
551172746113178,,,0.933,0.067,,,,,,,,,,,,,,,,,,
1486713801699562,,,,,,,,,,0.923,0.077,,,,,,,,,,,
169803465337531,,,0.934,0.066,,,,,,,,,,,,,,,,,,
1878154385705606,,,0.328,0.034,,,,,,0.58,0.055,,,,,,0.003,,,,,
382414643560357,,,,0.237,0.198,0.087,,,,,0.29,0.15,0.033,,,,,0.003,0.002,,,
822466635094209,0,0.115,0.116,0.093,0.047,,,,0.164,0.239,0.163,0.057,,,,0.003,0.002,0.002,0,,,
1217238452118240,,0.012,0.031,0.101,0.087,,,,0.071,0.146,0.321,0.22,,,,0,0.002,0.005,0.002,,,
1726929090839918,,0.049,0.092,0.098,0.009,,,,0.233,0.253,0.24,0.017,,,,0.001,0.003,0.006,,,,
578536796601835,,,0.1,0.102,0.093,0.056,0.056,,,0.231,0.181,0.098,0.043,0.037,,,0,0.001,0,0,0,
1047482076006560,,0.006,0.017,0.031,0.022,,,,0.097,0.313,0.362,0.146,,,,0,0.001,0.003,0.001,,,
2977334652531343,,0.073,0.113,0.114,0.066,,,,0.12,0.225,0.205,0.08,,,,0.001,0.002,0.002,0,,,
230247592489056,,,0.111,0.158,0.136,0.084,0.071,,,0.128,0.134,0.096,0.046,0.034,,,0.001,0.002,0.001,0,0.001,
404350484594078,0,0.045,0.02,0.03,0.025,,,,0.294,0.177,0.241,0.151,,,,0.008,0.003,0.003,0.002,,,
249043950490310,0,0.107,0.111,0.109,0.058,,,,0.14,0.2,0.19,0.08,,,,0.002,0.002,0.002,0,,,
3093557610966295,,,,,,,,,,0.949,0.051,,,,,,,,,,,
326278089261615,,,,,,,,,,0.942,0.058,,,,,,,,,,,
305239874272763,,,0.059,0.005,,,,,,0.865,0.066,,,,,,0.003,0,,,,
553267145972508,,,,0.026,0.056,0.06,,,,,0.316,0.352,0.184,,,,,0.002,0.002,0.001,,
1522609184756701,,,0.957,0.043,,,,,,,,,,,,,,,,,,
367995538447890,,,0.076,,,,,,,0.854,0.061,,,,,,0.009,,,,,
407164197634962,,,,0.083,0.082,0.06,,,,,0.365,0.272,0.134,,,,,0.002,0.003,0,,
213736437367327,0.011,,0.936,0.053,,,,,,,,,,,,,,,,,,
421891132616075,,,,0.209,0.181,0.063,,,,,0.318,0.183,0.044,,,,,0.002,0.001,0,,
148040427539129,,,0.287,0.024,,,,,,0.633,0.053,,,,,,0.003,0,,,,
599128028197989,,,0.935,0.065,,,,,,,,,,,,,,,,,,
401755891325724,,,,,,,,,,0.936,0.064,,,,,,,,,,,
1225862134584022,,,,,,,,,,0.934,0.066,,,,,,,,,,,
200566475435872,,,0.93,0.07,,,,,,,,,,,,,,,,,,
403032991403734,,,,0.212,0.157,0.05,,,,,0.36,0.179,0.038,,,,,0.002,0.001,0,,
835807300417894,,,0.287,0.024,,,,,,0.633,0.053,,,,,,0.003,0,,,,
155229143452243,,,,0.225,0.151,0.043,,,,,0.391,0.159,0.027,,,,,0.003,0.001,0,,
398541728297897,,,0.276,0.021,,,,,,0.662,0.039,,,,,,0.002,0,,,,
568781951211823,,,,,,,,,,0.944,0.056,,,,,,,,,,,
3689682877800697,,,0.939,0.061,,,,,,,,,,,,,,,,,,
604599684041878,,,,0.041,0.114,0.121,,,,,0.231,0.314,0.175,,,,,0.002,0.001,0.001,,
305482928048814,0,,0.883,0.116,,,,,,,,,,,,,,,,,,
398871595138340,,,0.114,0.015,,,,,,0.761,0.106,,,,,,0.003,0,,,,
459874051890322,,,,,,,,,,0.908,0.092,,,,,,,,,,,
995915417652771,,,,0.22,0.164,0.052,,,,,0.359,0.165,0.035,,,,,0.003,0.001,0,,
243616751034438,,,0.278,0.023,,,,,,0.649,0.047,,,,,,0.003,0,,,,
291931596103205,0,,0.942,0.058,,,,,,,,,,,,,,,,,,
381788090294045,,,,,,,,,,0.939,0.061,,,,,,,,,,,
559618311812984,,,,0.063,0.108,0.069,,,,,0.321,0.318,0.115,,,,,0.003,0.002,0.001,,
265144828824171,,,0.89,0.11,,,,,,,,,,,,,,,,,,
294405495846308,,,,,,,,,,0.918,0.082,,,,,,,,,,,
4406476316112001,,,0.086,0.012,,,,,,0.801,0.097,,,,,,0.004,0,,,,
987250175390923,,,0.304,0.025,,,,,,0.619,0.049,,,,,,0.003,0,,,,
368876541537242,0,,0.932,0.068,,,,,,,,,,,,,,,,,,
466069787843966,,,,0.222,0.165,0.052,,,,,0.354,0.169,0.034,,,,,0.002,0.001,0,,
569323097452494,,,,,,,,,,0.935,0.065,,,,,,,,,,,
598137374701374,,,0.894,0.106,,,,,,,,,,,,,,,,,,
400098575006011,,,,0.017,0.016,0.007,,,,,0.623,0.277,0.054,,,,,0.004,0.001,0.001,,
2965328747066020,,,0.015,0.002,,,,,,0.885,0.096,,,,,,0.003,0,,,,
610170799993617,,,,,,,,,,0.907,0.093,,,,,,,,,,,
190704709836480,,,,,,,,,,0.871,0.129,,,,,,,,,,,
225641549595166,,,0.021,0.005,,,,,,0.838,0.134,,,,,,0.001,0,,,,
1511813422511506,,,0.844,0.156,,,,,,,,,,,,,,,,,,
2414776691989654,,,,0.021,0.043,0.033,,,,,0.469,0.332,0.101,,,,,0.001,0,0,,
1123940164679328,,,0.047,0.076,0.077,0.036,,,,0.217,0.258,0.208,0.075,,,,0.002,0.003,0.002,0,,
1460654547638456,,,0.059,0.115,0.23,0.178,,,,0.067,0.113,0.143,0.088,,,,0.001,0.002,0.002,0.001,,
933054847423156,0,,0.95,0.05,,,,,,,,,,,,,,,,,,
1466904017042502,,,0.318,0.025,,,,,,0.6,0.055,,,,,,0.003,0,,,,
574337063811099,,,,,,,,0,,0.932,0.067,,,,,,,,,,,
448939706496008,,,,0.207,0.153,0.046,,,,,0.381,0.173,0.036,,,,,0.003,0.001,0,,
343761920805727,,,0.029,0.003,,,,,,0.886,0.075,,,,,,0.006,0.001,,,,
857630784942266,,,,0.022,0.042,0.05,,,,,0.317,0.373,0.19,,,,,0.002,0.003,0,,
4195935827172447,0.001,,0.911,0.089,,,,,,,,,,,,,,,,,,
193354846237703,,,,,,,,0,,0.93,0.07,,,,,,,,,,,
901865143771951,,,,0.209,0.181,0.062,,,,,0.323,0.181,0.041,,,,,0.002,0.001,0,,
874563873167195,,,,,,,,,,0.938,0.062,,,,,,,,,,,
143206031355793,,,0.924,0.076,,,,,,,,,,,,,,,,,,
254964189891469,,,0.293,0.025,,,,,,0.631,0.048,,,,,,0.002,0,,,,
408185077458798,,,,,,,,,,0.908,0.092,,,,,,,,,,,
707575540156612,,,0.872,0.128,,,,,,,,,,,,,,,,,,
895858067723704,,,,0.073,0.135,0.099,,,,,0.297,0.286,0.105,,,,,0.003,0.002,0.001,,
1284155485351686,,,0.115,0.019,,,,,,0.767,0.095,,,,,,0.004,0,,,,
233595195287643,,,,0.268,0.197,0.06,,,,,0.297,0.143,0.03,,,,,0.002,0.001,0,,
279892343958700,,,,,,,,,,0.948,0.052,,,,,,,,,,,
646544822993776,,,0.953,0.047,,,,,,,,,,,,,,,,,,
1028095191326220,,,0.414,0.031,,,,,,0.514,0.039,,,,,,0.002,0,,,,
1020248575425740,,0.017,0.077,0.13,0.117,0.087,0.08,,0.033,0.122,0.135,0.1,0.053,0.043,,0,0.001,0.002,0,0,0.001,
1216712455462707,,,0.049,0.077,0.078,0.036,,,,0.21,0.254,0.206,0.082,,,,0.002,0.003,0.002,0,,
3103508223212416,,,0.069,0.123,0.217,0.136,,,,0.088,0.123,0.149,0.086,,,,0.002,0.004,0.003,0.001,,
153892983606489,,,0.137,0.136,0.111,0.043,,,,0.213,0.197,0.121,0.037,,0,,0.002,0.002,0.001,0,,
268604311779388,,,0.192,0.132,0.079,0.025,,,,0.256,0.195,0.092,0.022,,,,0.004,0.002,0.001,0,,
573144150400350,,,0.318,0.117,0.065,0.017,,,,0.291,0.11,0.049,0.013,,,,0.013,0.004,0.001,0,,
